DMSO,Bleomycin,Bleomycin,Bleomycin,Doxorubicin,Doxorubicin,Doxorubicin,Sterigmatocystin,Sterigmatocystin,KCB25-11A,KCB25-11A,KCB25-11A,KCB25-11A,KCB25-11A,KCB25-11B,KCB25-11B,KCB25-11B,KCB25-11B,KCB25-11B
0,3,10,30,0.03,0.1,0.3,3,10,0.1,0.3,1,3,10,0.1,0.3,1,3,10
1.469756784,6.717357576,9.437694515,16.10460741,3.529411683,4.514114592,5.831153604,2.011495398,2.74799898,1.924680056,2.804766176,5.385763218,20.97931851,37.31335338,13.05203028,25.5277193,36.66692638,50.7713,41.66336154
1.411314715,5.029711594,7.346636036,15.42864293,4.239198131,4.45798,6.758005291,2.139907095,2.683094825,2.281771989,2.342298209,4.359685965,27.90150694,38.31067633,11.72972218,22.09513684,39.03912588,51.20128333,45.80392623
1.407115962,7.0176,8.349837719,13.54710154,4.141433636,4.640888889,6.425219903,2.014459888,2.972822853,2.153061717,2.535985635,5.766111944,28.80774688,39.97704382,13.89288737,27.09524775,39.82753209,48.425925,45.3650366
1.627778468,7.636635769,8.390627126,14.75218396,3.872851121,5.111397468,6.464869333,2.199510699,2.690954045,2.295307418,2.753311497,8.051558621,23.87484266,33.10497902,13.03659589,18.59385683,39.67292576,50.7000463,47.89933071
1.3775875,8.687658703,8.475290598,16.51069543,3.829497778,4.617271269,6.435440086,2.20849359,2.636130988,2.2301,2.483952275,7.776318077,22.80985581,35.43855375,16.47219469,22.56860826,38.74797674,47.84582234,56.76252885
1.406185226,5.878070943,8.899267227,14.73603631,3.633292577,4.745578862,6.187698729,2.167723958,2.77704127,2.152385556,2.529771307,5.736343636,24.800968,34.28609756,11.07522171,17.73254788,40.65570633,49.8817726,52.32718644
1.543835028,5.72738797,8.454768379,14.89008643,3.751494479,5.325432444,6.486100431,2.108839277,2.994545385,1.896454206,2.578889752,4.01627541,26.12934312,40.39123132,15.1440061,25.08208743,41.78706489,55.32679167,51.85808989
1.321215447,4.804389925,8.6573712,18.38699945,3.753864941,4.578387374,6.245049754,1.979551894,2.748924366,1.843347394,2.576883478,7.362642244,26.16721986,35.20621074,12.5650303,7.213606111,37.99370144,57.58039344,46.07035833
1.648637837,5.328409717,6.532166953,15.30678249,4.321263587,4.657959524,6.2072,2.022119715,2.793236786,2.007191317,2.698500119,5.0104275,24.32846354,38.00232389,12.40169101,25.5655561,38.07682822,47.06632577,54.92795484
1.348747337,5.242986087,8.227626728,17.73344049,4.456196774,5.078101449,6.753313068,2.11017125,2.917358273,1.845070028,2.711437469,5.274503448,26.30460076,41.28915909,8.217272868,28.02306474,44.78124876,48.57950505,55.9975713
1.382015754,5.391130942,6.196472021,17.83525419,3.831019556,5.330239815,7.071237037,1.55051048,2.684468527,2.180109106,2.53743858,4.02152,27.88961309,38.51453571,14.85372183,27.14533463,38.11031746,51.22988496,46.34375
1.352051853,6.118882576,6.106216444,17.9710022,4.11999276,5.269496476,7.090392814,2.253109385,2.86173477,2.21395591,2.575696953,5.610569186,26.29014276,43.69264216,13.13198197,27.88720392,37.34827228,52.43968636,48.66914074
1.482252047,5.4034,9.710900971,19.62877803,4.299088136,6.004374766,7.623838596,2.707760535,2.88107019,2.06550202,2.875989275,6.779252047,27.5908522,40.92329821,15.11181605,29.87277181,39.92345487,54.0838843,44.5002084
1.378341042,6.183098099,5.807744068,19.60613904,3.862546622,5.292631718,6.376102475,2.636763798,2.729215405,2.484732595,3.149833642,7.114381503,25.81446789,34.83380899,12.82938276,27.3190575,43.84164975,51.73068984,48.23595833
1.699598371,8.242940511,6.643432692,16.88296502,3.651198333,4.549246125,6.490398058,2.069988333,2.725379206,2.441314511,2.748625893,7.842987861,24.48421136,36.13201712,13.7672162,20.67346649,36.92910674,36.2623008,48.45451232
1.404503292,7.821647518,7.689061509,21.86361885,4.025812207,4.920188346,6.146445783,1.989677753,2.630715678,2.427879758,3.142431928,8.080653527,26.62540359,36.00911075,15.1229234,27.40432639,40.15921711,49.52161071,58.4571823
1.442435993,7.496019643,8.378130909,19.50645283,4.085176471,4.381337081,6.390337209,1.841979403,2.947632143,2.316693623,2.495106685,5.473310778,24.68341526,29.033,13.82935436,23.60841659,34.23629651,51.52427164,47.45320549
1.252947525,6.98049803,10.17569758,15.40990714,3.856426376,4.659386215,6.534072327,2.061581364,2.899856081,2.252829309,2.217825936,7.009244248,24.44066481,33.88183333,12.71403516,25.05628148,40.92114483,48.62194545,52.91997959
1.399671538,7.072755042,7.976520652,17.95904863,4.008906148,4.190518557,6.299381928,2.352770743,2.900723343,2.276693815,2.449466667,6.972641534,25.67822222,31.68985542,11.30679803,24.67551571,45.87015827,56.90417886,53.7366605
