"ImageNumber","Image_FileName_Hoechst","Image_FileName_H2AX","Image_Metadata_Code","Image_Metadata_Concentration","Image_Metadata_Well","Image_PathName_Hoechst","Image_PathName_H2AX"
"1","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f00d0.TIF","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f00d1.TIF","Bleomycin","30","B02","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52"
"2","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f01d0.TIF","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f01d1.TIF","Bleomycin","30","B02","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52"
"3","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f02d0.TIF","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f02d1.TIF","Bleomycin","30","B02","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52"
"4","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f03d0.TIF","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f03d1.TIF","Bleomycin","30","B02","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52"
"5","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f04d0.TIF","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f04d1.TIF","Bleomycin","30","B02","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52"
"6","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f05d0.TIF","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f05d1.TIF","Bleomycin","30","B02","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52"
"7","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f06d0.TIF","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f06d1.TIF","Bleomycin","30","B02","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52"
"8","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f07d0.TIF","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f07d1.TIF","Bleomycin","30","B02","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52"
"9","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f08d0.TIF","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f08d1.TIF","Bleomycin","30","B02","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52"
"10","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f09d0.TIF","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52/Hoechst-H2AX_Plate_R_p00_0_B02f09d1.TIF","Bleomycin","30","B02","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52","D:/2026-02-13_U2OS-Hoechst-H2AX_STC-11A-11B-Dox-BLO/Hoechst-H2AX.2026-02-13-21-50-52"
